synonym_id,node_id,domain,subfield,knowledge_point,surface_form,surface_type,language,stage_label,notes
SYN-0001,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,计算长方体和正方体的体积,canonical,zh,Grade 5 semester 2,节点规范名称，范围限定为长方体、正方体体积的求法与应用。
SYN-0002,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体体积,variant,zh,Grade 5 semester 2,常见简称，通常指长方体体积的计算或相关题目；单独出现时只覆盖该节点中的一部分范围，但在教材目录或练习语境中可作为同域表述。
SYN-0003,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,正方体体积,variant,zh,Grade 5 semester 2,常见简称，通常指正方体体积的计算；单独出现时只覆盖该节点中的一部分范围，但与本节点范围密切相关。
SYN-0005,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体和正方体的体积,variant,zh,Grade 5 semester 2,与规范名称相比省略“计算”，教材或教辅中常作为小节标题；通常仍指求体积的方法与应用。
SYN-0006,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体、正方体体积的计算,textbook_phrase,zh,Grade 5 semester 2,与节点范围高度一致的概括性表述，强调计算任务。
SYN-0007,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体体积公式,variant,zh,Grade 5 semester 2,常用于进入体积计算的核心知识点，通常与长×宽×高相关。
SYN-0008,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,正方体体积公式,variant,zh,Grade 5 semester 2,常用于正方体体积计算的核心知识点，通常与棱长的立方相关。
SYN-0009,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,V=abh,formula,symbolic,Grade 5 semester 2,长方体体积的常见符号表达，a、b、h常分别表示长、宽、高。
SYN-0010,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,V=a³,formula,symbolic,Grade 5 semester 2,正方体体积公式的符号写法，a通常表示棱长。
SYN-0011,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数的乘除法,canonical,zh,Grade 6 semester 1,节点规范名称，表示分数乘法与分数除法的合并主题。
SYN-0012,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数乘除法,variant,zh,Grade 6 semester 1,常见简称，与规范名称同义，适合作为主题级表述。
SYN-0013,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数的乘法和除法,variant,zh,Grade 6 semester 1,与规范名称同义的展开式表述。
SYN-0014,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数乘法与除法,variant,zh,Grade 6 semester 1,连词替换形成的常见主题表述。
SYN-0015,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数乘法、除法,variant,zh,Grade 6 semester 1,并列式写法，通常仍指该合并主题。
SYN-0016,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数乘除运算,variant,zh,Grade 6 semester 1,强调运算性质与方法，但通常仍落在分数乘法和除法主题内。
SYN-0017,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,fraction multiplication and division,variant,en,Grade 6 semester 1,英文对译，适合作为跨语种检索别名。
SYN-0020,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,分数的约分,canonical,zh,Grade 5 semester 2,节点规范名称，范围限定为把分数化成最简分数及其方法。
SYN-0021,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,约分,variant,zh,Grade 5 semester 2,来源给定同义项，是该知识点最常见的简称。
SYN-0022,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,把分数化成最简分数,variant,zh,Grade 5 semester 2,操作性表述，明确限定对象是分数，和本节点范围高度一致。
SYN-0023,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,分数化简,variant,zh,Grade 5 semester 2,来源给定同义项，通常与分数约分同义。
SYN-0024,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,把分数约成最简分数,variant,zh,Grade 5 semester 2,与“把分数化成最简分数”同义的常见说法。
SYN-0025,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,把分数化简成最简分数,variant,zh,Grade 5 semester 2,强调化简结果为最简分数，仍属本节点范围。
SYN-0027,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,reduce a fraction,variant,en,Grade 5 semester 2,英文对译，表达把分数约分。
SYN-0028,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体、正方体的体积计算,variant,zh,Grade 5 semester 2,与规范名称同范围的紧凑表达，强调两类立体图形的体积求法。
SYN-0029,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体体积计算,variant,zh,Grade 5 semester 2,指向本节点中的长方体部分；若图谱后续拆分为独立子节点，则应改挂更细粒度节点。
SYN-0030,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,正方体体积计算,variant,zh,Grade 5 semester 2,指向本节点中的正方体部分；若图谱后续拆分为独立子节点，则应改挂更细粒度节点。
SYN-0033,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数乘法和除法,variant,zh,Grade 6 semester 1,并列展开式表达，通常与“分数的乘除法”同义。
SYN-0034,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数乘、除法,variant,zh,Grade 6 semester 1,教辅或目录中常见的压缩写法，仍指同一统称主题。
SYN-0036,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,分数约分,variant,zh,Grade 5 semester 2,在教学和练习标题中常见的紧凑表达，与规范名称同范围。
SYN-0037,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,约成最简分数,textbook_phrase,zh,Grade 5 semester 2,描述约分操作的结果指向，通常与分数语境共同出现时可映射到本节点。
SYN-0039,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,求长方体和正方体的体积,variant,zh,Grade 5 semester 2,强调操作目标“求体积”，与本节点计算范围一致。
SYN-0040,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体的体积,textbook_phrase,zh,Grade 5 semester 2,可能作为教材中的节名或题型表述；严格说只覆盖长方体，不含正方体，但常与正方体体积同主题连续出现。
SYN-0041,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,正方体的体积,textbook_phrase,zh,Grade 5 semester 2,可能作为教材中的节名或题型表述；严格说只覆盖正方体，不含长方体，但与本节点主题高度相关。
SYN-0042,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体体积=长×宽×高,formula,mixed,Grade 5 semester 2,长方体体积计算公式的文字型写法，直接落在本节点范围。
SYN-0043,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,正方体体积=棱长×棱长×棱长,formula,mixed,Grade 5 semester 2,正方体体积计算公式的文字型写法，属于本节点核心内容。
SYN-0044,HKG-NODE-NODE-NODE-232,几何,基本图形的认识,计算长方体和正方体的体积,长方体、正方体体积公式,variant,zh,Grade 5 semester 2,强调本节点中的公式知识；若图谱将“认识公式”与“应用公式计算”拆分，则该表述可能跨节点。
SYN-0045,HKG-NODE-NODE-NODE-549,算数,基础运算,分数的乘除法,分数的乘法与除法,variant,zh,Grade 6 semester 1,连接词不同但范围一致，指分数乘法和分数除法这一合并主题。
SYN-0047,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,化成最简分数,variant,zh,Grade 5 semester 2,与约分目标一致，常出现在题目要求中。
SYN-0049,HKG-NODE-NODE-NODE-596,数论,分数,分数的约分,分子分母同时除以公因数,textbook_phrase,zh,Grade 5 semester 2,描述约分方法的常见表达，基本落在本节点范围；若图谱区分“概念”和“方法”，则可能关联子节点。
SYN-0050,HKG-NODE-NODE-NODE-03,代数,比和比例,比的意义,比的意义,canonical,zh,Grade 6 semester 1,节点规范名称。范围是“比”这一概念的基础含义，作为后续学习比的读写、比值、比例等内容的前置认识。与更细化的“用两个量相除表示两个量之间的倍比关系”存在上下位或拆分关系，表面上易混。
SYN-0051,HKG-NODE-NODE-NODE-03,代数,比和比例,比的意义,比的含义,variant,zh,Grade 6 semester 1,常见同义表述。可能同时指向更具体的“比的意义（用两个量相除表示两个量之间的倍比关系）”，存在节点间歧义。
SYN-0052,HKG-NODE-NODE-NODE-03,代数,比和比例,比的意义,认识比,textbook_phrase,zh,Grade 6 semester 1,偏教学单元式表述，通常用于引入“什么是比”的初识阶段。范围较宽，可能连带读写法、实例等入门内容。
