node_id,domain,subfield,knowledge_point,stage_label,normalized_difficulty,source_type,source_reference,synonyms,scope_note
HKG-NODE-NODE-NODE-03,代数,比和比例,比的意义,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:比的意义,比的含义;认识比,聚焦“比”作为两个量之间关系的基础含义，用于后续学习比的读写、各部分名称、求比值和比例等内容。当前来源仅能稳定支持该概念标题本身，不足以细化到具体表示法或运算规则。
HKG-NODE-NODE-NODE-05,代数,比和比例,比的意义（用两个量相除表示两个量之间的倍比关系）,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:比的意义,比的概念;比的含义;比表示两个量的关系,聚焦“比”作为两个相关量之间关系的表示，通常包括把两个量用除法联系起来、理解比的前项和后项、以及比与分数除法关系的入门性认识。是否包含比的读写法、各部分名称、比值、化简比等内容，需与相邻节点进一步切分核对。
HKG-NODE-NODE-NODE-06,代数,比和比例,比的基本性质,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:比的基本性质,比的性质,聚焦于比的基本性质及其用于化简比、保持比值不变的等值变形。当前来源仅能确认该知识点名称、所属路径与记录年级，具体教学边界仍需人工核验。
HKG-NODE-NODE-0,代数,比和比例,比的基本性质：比的前项和后项同时乘或除以同一个非0数，比值不变,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:比的基本性质,比的性质;比的基本性质,聚焦于比的保持不变性质及其作为化简比、求比值相关操作依据的作用；不等同于比例的基本性质，也不覆盖按比分配等后续应用规则。
HKG-NODE-NODE-NODE-07,代数,比和比例,根据给定的比，把一个总量分成若干份并求各部分量的应用问题,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:按比例分配问题,按比分配问题;比例分配问题;按比分配问题,聚焦六年级上册比的应用：已知总量与各部分的比，先求总份数，再求每份对应的量，进而求出各部分量。可包含整数、小数、分数情境下的按比分配。当前证据仅支持作为“按比例分配问题”这一应用题类型节点，不足以细分为更具体题型。
HKG-NODE-NODE-NODE-08,代数,比和比例,按比例分配问题,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:按比例分配问题,按比分配问题;比例分配问题;按比分配应用题,指已知总量及各部分对应的比，求各部分数量的应用问题。通常包含先求总份数、再求每份量、最后求各部分量的解题结构。该点应与“比的意义”“比的基本性质”“比与分数、除法的联系”等前置知识区分；不等同于一般‘平均分配’或任意分配类应用题。
HKG-NODE-NODE-NODE-13,代数,比和比例,判断两个相关量是否成正比例,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:正比例与反比例,正比例关系;成正比例;两种量成正比例,聚焦正比例关系的识别与基本表征，如两种量对应、比值一定、随一个量变化另一个量按相同方向成倍变化。来源仅给出合并标题，未提供更细教材证据，节点表述采用审计性拆分。
HKG-NODE-NODE-NODE-14,代数,比和比例,判断两个相关量是否成反比例,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:正比例与反比例,反比例关系;成反比例;两种量成反比例,聚焦反比例关系的识别与基本表征，如两种量对应、乘积一定、一个量增大时另一个量减小。来源仅给出合并标题，未提供更细教材证据，节点表述采用审计性拆分。
HKG-NODE-NODE-NODE-16,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单求值,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:比例的应用（比例尺、图形的放大缩小等）,比例尺应用;根据比例尺求图上距离或实际距离;比例尺计算,从源标题中的“比例尺”细化得到。范围宜限定为依据比例关系理解和使用比例尺，进行图上距离、实际距离、比例尺三者之间的简单计算；不应自动扩展到地图综合、单位换算的系统专题或相似形证明。
HKG-NODE-NODE-NODE-21,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单换算,Grade 6 semester 1,43.48,manual_audit,src/open_r1/knowledge_base_graph57.json:比例的应用（比例尺、图形的放大缩小等）,比例尺应用;图上距离与实际距离的比例;按比例尺求实际距离或图上距离,从现有节点标题中的“比例尺”细化得到。范围宜限定为依据比例关系理解比例尺，并在图上距离与实际距离之间进行求值或换算；不应扩展到地图阅读的非数学常识内容。
HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:单项式的概念、系数、次数,单项式的概念;单项式的定义;认识单项式,对应“单项式的概念”部分。范围宜限定为初中整式入门中对单项式形式的识别与基本理解，不扩展到多项式运算或严格分类细则。
HKG-NODE-NODE-NODE-28,代数,整式,单项式的概念,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:单项式的概念、系数、次数,单项式定义;什么是单项式,聚焦于识别单项式这一类代数式，区分数字与字母乘积形式的单项式与非单项式；不等同于后续对多项式、整式整体分类的完整体系。
HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:多项式的概念、项、次数,多项式概念;什么是多项式;多项式定义,聚焦于识别多项式作为由若干单项式的和组成的整式，能区分多项式与单项式，并据形式判断一个代数式是否属于多项式。该节点不自动涵盖多项式的项数分类、升降幂排列或多项式运算。
HKG-NODE-NODE-NODE-33,代数,整式,多项式的次数,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:多项式的概念、项、次数,多项式次数;求多项式的次数,指确定一个多项式次数时，先识别各项次数，再取其中最高次数。应与“单项式的次数”建立前置关系，但不与“幂的指数”混同。
HKG-NODE-NODE-NODE-38,代数,整式,整式的概念,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:整式的概念、书写,整式概念;整式的定义,围绕“整式”作为代数式类别的识别与基本理解。当前证据仅支持概念层面的节点，不足以细化到单项式、多项式、次数等下位知识点。
HKG-NODE-NODE-NODE-45,代数,整式,合并同类项化简整式,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:同类项与合并同类项、去括号,合并同类项;化简整式中的同类项,指在整式化简中把同类项的系数相加减，保持字母部分不变；属于整式加减化简的基础操作。
HKG-NODE-NODE-NODE-47,代数,整式,合并同类项,Grade 7 semester 1,52.17,manual_audit,src/open_r1/knowledge_base_graph57.json:同类项与合并同类项、去括号,同类项合并;整式中的合并同类项,指在整式化简中把同类项的系数相加减并保持字母部分不变。适合作为整式化简的基础运算节点。
HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,Grade 7 semester 2,56.52,manual_audit,src/open_r1/knowledge_base_graph57.json:二元一次方程组及其求解,二元一次方程组;二元一次方程组的解,对应种子节点标题中的“二元一次方程组”部分，宜限定为识别二元一次方程组、理解其解满足两个方程的含义。原始标题将概念与求解过程合并，建议审查是否拆分为概念节点与程序性节点。
HKG-NODE-NODE-NODE-52,代数,方程,二元一次方程组的求解,Grade 7 semester 2,56.52,manual_audit,src/open_r1/knowledge_base_graph57.json:二元一次方程组及其求解,解二元一次方程组;二元一次方程组及其求解,对应七年级下册对二元一次方程组进行求解并用于基本问题解决的核心内容。当前证据只能稳妥支持“求解”这一合并层级，不足以仅凭源信息继续审定为代入法、加减法等独立节点。
HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,Grade 7 semester 2,56.52,manual_audit,src/open_r1/knowledge_base_graph57.json:不等式与一元一次不等式组,一元一次不等式组;解一元一次不等式组;求不等式组的解集,该节点与源标题直接对应，建议范围包括联立两个或多个一元一次不等式，确定其公共解集；可包括借助数轴或区间关系判断解集的交。不要泛化到高年级的多元不等式组。
HKG-NODE-NODE-NODE-65,代数,不等式,求解一元一次不等式组，并确定其公共解集,Grade 7 semester 2,56.52,manual_audit,src/open_r1/knowledge_base_graph57.json:不等式与一元一次不等式组,解一元一次不等式组;一元一次不等式组的解集;不等式组的公共解,该节点直接由来源标题中的“一元一次不等式组”支持。建议范围限定为由若干一元一次不等式组成的不等式组的求解、在数轴上表示各不等式解集并取公共部分，不扩展到高次、不含参数或应用建模的复杂情形。
HKG-NODE-NODE-NODE-76,代数,整式,因式分解,Grade 8 semester 1,60.87,manual_audit,src/open_r1/knowledge_base_graph57.json:整式的乘除与分解因式,分解因式;多项式因式分解,依据源标题中的“分解因式”规范化为常见知识点名称“因式分解”。宜理解为把多项式化为几个整式的积的形式，但当前来源未指明是否包括提公因式法、公式法等具体方法。
HKG-NODE-NODE-NODE-77,代数,整式,整式的乘除与因式分解,Grade 8 semester 1,60.87,manual_audit,src/open_r1/knowledge_base_graph57.json:整式的乘除与分解因式,整式的乘除与分解因式,保留来源中的合并型单元标题作为宽口径节点，适合表示单元或章节级主题，不宜直接作为最细粒度可教学知识点。建议与“整式乘法”“整式除法”“因式分解”形成父子关系。
HKG-NODE-NODE-NODE-85,代数,分式,分式的约分,Grade 8 semester 1,60.87,manual_audit,src/open_r1/knowledge_base_graph57.json:约分、通分、最简分式,分式约分;约分,指利用分式的基本性质，约去分子与分母的公因式，把分式化为较简形式；应与分数的约分区分为代数式情境下的系统学习。
HKG-NODE-NODE-NODE-86,代数,分式,分式的通分,Grade 8 semester 1,60.87,manual_audit,src/open_r1/knowledge_base_graph57.json:约分、通分、最简分式,分式通分;通分,指为分式选取适当的公分母并化为同分母分式，通常服务于分式加减及比较；应限定在分式而非算术分数范围内。
HKG-NODE-NODE-NODE-90,代数,分式,分式方程的求解,Grade 8 semester 1,60.87,manual_audit,src/open_r1/knowledge_base_graph57.json:分式方程及其求解,解分式方程;分式方程及其求解,可从来源标题直接确认存在“求解分式方程”这一知识点。适合作为上位节点，覆盖将分式方程转化后求解的基本过程。由于当前证据仅为运行图标题，不宜在节点名中固化具体步骤，如去分母、最简公分母、验根等；这些细化内容建议待教材或课程标准证据补充后再拆分。
HKG-NODE-NODE-NODE-93,代数,分式,分式方程及其求解,Grade 8 semester 1,60.87,manual_audit,src/open_r1/knowledge_base_graph57.json:分式方程及其求解,分式方程的求解;解分式方程,围绕“分式方程”这一类方程的识别与求解方法。按常见教材组织，通常包含通过去分母将分式方程转化为整式方程并检验增根，但本次来源仅给出节点标题，未提供更细的教材范围，因此暂不拆分出更细步骤性节点。
HKG-NODE-NODE-NODE-98,代数,根式,二次根式,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:二次根式及其运算,二次根式概念;二次根式基础,由现有运行时图节点“二次根式及其运算”拆分出的概念性节点，表示对二次根式这一对象本身的认识。当前来源仅能支持该单元名称级别的审计，暂不细化到定义、性质或有意义条件等更小知识点。
HKG-NODE-NODE-NODE-100,代数,根式,二次根式及其运算,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:二次根式及其运算,二次根式单元;二次根式与运算,保留原运行时图中的复合节点名称，适合作为单元级或聚合级节点；不建议直接作为最细粒度可教学知识点使用，应优先拆分为“二次根式”与“二次根式的运算”等子节点。
HKG-NODE-NODE-NODE-102,代数,函数,一次函数图像的作法与识别,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:一次函数及其图像,一次函数的图像;一次函数图像;y=kx+b的图像,依据源标题中的“图像”提出，范围限于一次函数图像与解析式之间的基本对应、描点或由已知条件确定直线图像的初步方法；不扩展到更高阶段的解析几何直线理论。
HKG-NODE-NODE-NODE-104,代数,函数,一次函数的概念与解析式形式,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:一次函数及其图像,一次函数;线性函数（初中语境下常指一次函数）,依据源标题“ 一次函数及其图像 ”，可审计到本单元聚焦一次函数本身及图像。建议细化为对一次函数的识别、解析式形式及其作为后续作图与性质学习的前置节点。由于当前仅有运行图谱标题，未见更细目录，解析式细节需人工复核。
HKG-NODE-NODE-NODE-108,代数,函数,正比例函数,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:正比例函数,成正比例的函数;y=kx型函数,以“正比例函数”为单元级知识点进行登记。通常指形如 y=kx（k≠0）的函数模型及其作为函数对象的识别；是否包含解析式、图象、性质、应用题建模等完整范围，当前来源未提供细目，需人工复核。
HKG-NODE-NODE-NODE-109,代数,函数,正比例函数的概念,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:正比例函数,正比例函数;y=kx型函数,Audited as the core concept node for 正比例函数 at the stage where students systematically study this function type. Scope should center on recognizing and using the function form y=kx（k≠0） as a distinct function category; graph properties and applications may require separate downstream nodes if supported by stronger sources.
HKG-NODE-NODE-Y-KX-B-B-0-Y-KX,代数,函数,正比例函数是一次函数的特殊情形；一次函数 y=kx+b 在 b=0 时成为正比例函数 y=kx,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:一次函数与正比例函数的关系,正比例函数是特殊的一次函数;一次函数与正比例函数的包含关系;一次函数和正比例函数的关系,聚焦两类函数的包含关系与形式辨析：正比例函数可视为一次函数中截距为0的特例。适用于根据解析式判断函数类型、比较图象特征与衔接后续性质学习。若本地图谱将“关系”作为独立节点，应避免与“一次函数的概念”“正比例函数的概念”完全重叠。
HKG-NODE-NODE-Y-KX-B-B-0,代数,函数,正比例函数是一类特殊的一次函数；一次函数 y=kx+b 在 b=0 时成为正比例函数,Grade 8 semester 2,65.22,manual_audit,src/open_r1/knowledge_base_graph57.json:一次函数与正比例函数的关系,一次函数与正比例函数的关系;正比例函数与一次函数的关系;正比例函数是特殊的一次函数;一次函数和正比例函数的联系,聚焦两类函数之间的包含关系与一般形式的特例判定，不扩展到图象性质、增减性或实际应用建模。
HKG-NODE-NODE-NODE-110,代数,方程,一元二次方程的求解,Grade 9 semester 1,69.57,manual_audit,src/open_r1/knowledge_base_graph57.json:一元二次方程求解,一元二次方程求解;解一元二次方程;求一元二次方程的解,聚焦一元二次方程的解法与求根活动。当前来源仅能稳定支持“求解”这一总节点，是否细分为配方法、公式法、因式分解法等具体方法，需结合教材或课程标准进一步审定。
HKG-NODE-NODE-NODE-111,代数,方程,一元二次方程求解,Grade 9 semester 1,69.57,manual_audit,src/open_r1/knowledge_base_graph57.json:一元二次方程求解,解一元二次方程;一元二次方程的求解,基于现有运行时图节点，范围可暂定为对一元二次方程进行求根与解的表达的综合性求解主题。当前证据不足以细分为具体方法节点，需人工核查是否应拆分为因式分解法、配方法、公式法等更细粒度知识点。
HKG-NODE-NODE-Y-AX-2-BX-C-A-0,代数,函数,一元二次函数的概念与解析式y=ax^2+bx+c（a≠0）,Grade 9 semester 1,69.57,manual_audit,src/open_r1/knowledge_base_graph57.json:一元二次函数及其图像,二次函数;一元二次函数;形如y=ax^2+bx+c（a≠0）的函数,从源标题可审计到该单元涉及“一元二次函数”。建议细化为函数定义、标准一般式及其作为九上求解与识别对象的知识点；但当前来源未给出更细目录，是否包含定义域、对应关系、系数条件等细项需人工复核。
HKG-NODE-NODE-Y-AX-BX-C-A-0,代数,函数,一元二次函数的概念与一般形式（y=ax²+bx+c，a≠0）,Grade 9 semester 1,69.57,manual_audit,src/open_r1/knowledge_base_graph57.json:一元二次函数及其图像,二次函数;一元二次函数,根据题名可审计到该单元涉及“一元二次函数”这一对象本身。建议将“函数概念/解析式形式”与“图像性质”分开建点；本节点仅覆盖一元二次函数的对象识别、一般形式及与一次函数的类型区分，不默认包含顶点式、交点式、最值或应用题。
HKG-NODE-NODE-NODE-123,代数,函数,根据二次函数表达式确定抛物线的对称轴,Grade 9 semester 2,73.91,manual_audit,src/open_r1/knowledge_base_graph57.json:抛物线、二次函数及其对称轴、开口方向的求解,求二次函数的对称轴;求抛物线对称轴;确定二次函数图象的对称轴,聚焦于由二次函数解析式判断或求出对称轴，不默认包含顶点坐标、配方法化简或图象平移的系统展开。
HKG-NODE-NODE-NODE-124,代数,函数,根据二次函数表达式确定抛物线的开口方向,Grade 9 semester 2,73.91,manual_audit,src/open_r1/knowledge_base_graph57.json:抛物线、二次函数及其对称轴、开口方向的求解,求二次函数开口方向;判断抛物线开口方向;确定二次函数图象开口方向,聚焦于由二次函数解析式判断抛物线开口向上或向下，不扩展到开口大小比较或图象伸缩变换。
HKG-NODE-NODE-NODE-130,代数,函数,二次函数在对称轴两侧区间上的增减性,Grade 9 semester 2,73.91,manual_audit,src/open_r1/knowledge_base_graph57.json:二次函数的增减性,二次函数的单调性;二次函数图象的增减性;抛物线的增减性,聚焦二次函数图象与对称轴相关的单调性判断：根据开口方向与对称轴位置，判断函数在对称轴左侧和右侧区间上的增减情况。该知识点通常不表示“在整个定义域上单调”。
HKG-NODE-NODE-NODE-131,代数,函数,二次函数在顶点两侧区间上的增减性,Grade 9 semester 2,73.91,manual_audit,src/open_r1/knowledge_base_graph57.json:二次函数的增减性,二次函数的增减性;二次函数的单调性;抛物线的增减性,聚焦二次函数图像或解析式所反映的增减规律，通常以顶点为分界讨论函数在两个区间上的递增或递减，不泛化到任意函数的单调性理论。
HKG-NODE-NODE-NODE-133,几何,基本图形的认识,辨认并区分长方体、正方体、圆柱体、球,Grade 1 semester 1,0.00,manual_audit,src/open_r1/knowledge_base_graph57.json:区分长方体、正方体、圆柱体、球,认识长方体、正方体、圆柱体、球;辨认长方体、正方体、圆柱体、球;区分四种常见立体图形;立体图形的初步认识,范围限于一年级上学期对常见立体图形的直观辨认、命名与简单分类，不延伸到棱、顶点、面等性质的系统描述，也不包含立体图形展开图、体积计算或严谨定义。
HKG-NODE-NODE-NODE-134,几何,基本图形的认识,辨认并区分长方体、正方体、圆柱体、球等常见立体图形,Grade 1 semester 1,0.00,manual_audit,src/open_r1/knowledge_base_graph57.json:区分长方体、正方体、圆柱体、球,区分长方体、正方体、圆柱体、球;辨认长方体、正方体、圆柱体、球;认识长方体、正方体、圆柱体、球;认识常见立体图形;区分常见立体图形,侧重在一年级上册对常见立体图形进行直观辨认、分类与名称对应，通常依据整体外形和生活中的实物原型进行区分；不应扩大为系统描述棱、顶点、面等几何性质，也不应提前延伸到展开图、体积或表面积计算。
HKG-NODE-NODE-NODE-136,几何,基本图形的认识,用已认识的平面图形进行拼接，形成新的图形或图案,Grade 1 semester 2,4.35,manual_audit,src/open_r1/knowledge_base_graph57.json:图形的拼接,平面图形的拼接;图形拼接;用图形拼出新图形;图形的组合拼摆,建议限定为低年级基于直观操作的平面图形拼接活动，如把常见平面图形拼成新的图形或简单图案。当前证据不足以支持更高阶范围，如面积守恒、切拼变换、七巧板策略化分解，宜与后续年级相关内容区分。
HKG-NODE-NODE-NODE-140,几何,角,角的初步认识,Grade 2 semester 1,8.70,manual_audit,src/open_r1/knowledge_base_graph57.json:角的初步认识,初步认识角;认识角,基于现有运行时图谱条目进行审校，当前仅能稳定支持“对角这一几何对象的初步建立与识别”这一入门级节点；是否包含角的各部分名称、角的大小直观比较、画角或用符号表示角，来源摘要未提供充分证据，暂不细分。
HKG-NODE-NODE-NODE-148,几何,图形的位置关系,初步认识平移现象,Grade 2 semester 2,13.04,manual_audit,src/open_r1/knowledge_base_graph57.json:轴对称、平移、旋转的概念与认识,平移的初步认识;认识平移;平移现象的认识,本节点聚焦对平移现象的直观识别与生活实例理解，适合低年级入门。范围内不预设网格中的平移作图、平移距离与方向的形式化表示，也不扩展到坐标变换。
HKG-NODE-NODE-NODE-149,几何,图形的位置关系,初步认识旋转现象,Grade 2 semester 2,13.04,manual_audit,src/open_r1/knowledge_base_graph57.json:轴对称、平移、旋转的概念与认识,旋转的初步认识;认识旋转;旋转现象的认识,本节点对应对旋转现象的直观认识与辨别，通常基于生活情境或简单图形变化。范围外包括旋转中心、旋转角度、按指定条件作旋转图形等较高阶段内容。
HKG-NODE-NODE-NODE-153,几何,周长和面积,长方形周长的计算,Grade 3 semester 1,17.39,manual_audit,src/open_r1/knowledge_base_graph57.json:正方形和长方形的周长计算,长方形的周长计算;计算长方形周长,依据长方形四条边长度关系计算周长，可包含按边长相加或用长、宽关系进行计算。该节点从合并表述中拆分出长方形部分，便于与正方形周长区分。
HKG-NODE-NODE-NODE-154,几何,周长和面积,正方形周长的计算,Grade 3 semester 1,17.39,manual_audit,src/open_r1/knowledge_base_graph57.json:正方形和长方形的周长计算,正方形的周长计算;计算正方形周长,依据正方形四边相等的性质计算周长，可包含四条边相加或边长与4的关系进行计算。该节点从合并表述中拆分出正方形部分，便于细化教学粒度。
HKG-NODE-NODE-NODE-162,几何,周长和面积,正方形和长方形面积的计算,Grade 3 semester 2,21.74,manual_audit,src/open_r1/knowledge_base_graph57.json:正方形和长方形的面积计算,正方形和长方形的面积计算;正方形与长方形面积计算,对应现有运行时图谱中的合并节点，覆盖规则四边形中正方形与长方形的面积求法，不应扩展到周长计算或其他平面图形面积。
HKG-NODE-NODE-NODE-163,几何,周长和面积,用长×宽计算长方形的面积，并能用边长×边长计算正方形的面积,Grade 3 semester 2,21.74,manual_audit,src/open_r1/knowledge_base_graph57.json:正方形和长方形的面积计算,长方形和正方形的面积计算;长方形面积计算;正方形面积计算;长方形、正方形面积公式;长方形和正方形的面积公式应用,依据给定来源标题与图谱路径，可审计到的核心范围是长方形、正方形的面积计算方法。当前仅能稳妥标注为两类平面图形面积公式的入门应用，不扩展到面积单位换算、复杂组合图形求面积或周长面积综合比较。若后续教材证据显示分课时分别建立长方形面积公式与正方形面积公式，可再拆分节点。
HKG-NODE-NODE-100,几何,周长和面积,相邻常用面积单位之间的进率为100（平方厘米、平方分米、平方米）,Grade 3 semester 2,21.74,manual_audit,src/open_r1/knowledge_base_graph57.json:面积单位之间的进率,面积单位的进率;相邻面积单位间的进率;常用面积单位之间的进率;面积单位换算,依据现有图谱词条“面积单位之间的进率”进行细化审校。建议本节点限定为三年级下册系统学习的常用面积单位范围，即平方厘米、平方分米、平方米之间的相邻单位进率与换算，不默认扩展到公顷、平方千米等更高阶段内容。
HKG-NODE-NODE-100-02,几何,周长和面积,相邻常用面积单位之间的进率为100，并能进行简单换算,Grade 3 semester 2,21.74,manual_audit,src/open_r1/knowledge_base_graph57.json:面积单位之间的进率,面积单位的进率;面积单位间的进率;面积单位之间的换算;常用面积单位的换算,依据现有图谱条目，范围宜理解为小学阶段已引入的常用面积单位之间的相邻进率关系及基础换算，通常对应平方厘米、平方分米、平方米等；但当前来源未明确列出具体单位，需人工核验是否同时覆盖全部相邻单位关系。
HKG-NODE-NODE-NODE-166,几何,周长和面积,常用面积单位的认识与区分,Grade 3 semester 2,21.74,manual_audit,src/open_r1/knowledge_base_graph57.json:常用的面积单位,常见的面积单位;面积单位;面积的常用单位,基于来源标题与运行时图谱路径，可审计到本节点聚焦于面积计量中“常用单位”的识别、名称区分与基础使用。当前证据不足以细化到具体单位集合、单位换算规则或单位选择应用题，建议与“面积单位换算”“用合适单位表示面积”等后续节点区分。
HKG-NODE-NODE-NODE-167,几何,周长和面积,认识并区分常用面积单位,Grade 3 semester 2,21.74,manual_audit,src/open_r1/knowledge_base_graph57.json:常用的面积单位,常见面积单位;面积单位;常用的面积计量单位,依据来源标题，可稳定支持的范围是对常用面积单位这一组概念的认识、区分与在面积情境中的使用；未见更细分证据时，不应擅自细化到具体单位换算规则或全部单位清单。
HKG-NODE-NODE-NODE-172,几何,周长和面积,面积单位“公顷”的认识与使用,Grade 4 semester 1,26.09,manual_audit,src/open_r1/knowledge_base_graph57.json:公顷和平方千米的认识和转换,公顷的认识;认识公顷;公顷的认识与使用,聚焦把公顷作为较大的面积单位进行识别、理解其适用场景，并在面积表述中正确使用。来源仅显示“认识和转换”，未提供更细教材证据，因此不细化到具体例题或表述方式。
HKG-NODE-NODE-NODE-175,几何,周长和面积,公顷和平方千米的认识与单位换算,Grade 4 semester 1,26.09,manual_audit,src/open_r1/knowledge_base_graph57.json:公顷和平方千米的认识和转换,公顷和平方千米的认识和转换;公顷与平方千米的认识与换算;面积单位公顷和平方千米,聚焦较大面积单位公顷、平方千米的含义认识及二者与相邻常用面积单位之间的换算。来源摘要仅明确“认识和转换”的合并表述，是否应细分为单位认识、单位选择、单位换算、实际测量估计等子节点，需人工复核。
HKG-NODE-NODE-NODE-177,几何,角,按角的大小分类角,Grade 4 semester 1,26.09,manual_audit,src/open_r1/knowledge_base_graph57.json:角的度量和分类（锐角、钝角等）,角的分类;根据角的大小分类;角按大小分类,从合并表述中拆分出的知识点之一，聚焦依据角的大小进行分类。根据源中的“锐角、钝角等”可确定至少涉及锐角、钝角；通常还会包含直角，但“等”所覆盖的精确类别集合需人工核验。
