ambiguity_id,surface_form,admissible_node_ids,admissible_domains_subfields,disambiguation_cues,accepted_context_examples,rejected_context_examples,notes
AMB-001,比的含义,HKG-NODE-NODE-NODE-03;HKG-NODE-NODE-NODE-05,代数 / 比和比例;代数 / 比和比例,若上下文只是在入门层面说明“比”表示两个量之间的关系，偏向 HKG-NODE-NODE-NODE-03；若上下文明确出现“两个量相除”“倍比关系”等除法化表征，偏向 HKG-NODE-NODE-NODE-05。,讨论“比”作为两个量关系的基础认识；讨论“把两个量用相除来表示关系”。,讨论化简比、求比值、按比分配、比例关系判断。,两节点同源且同阶段，表面词高度重叠；更像粒度重复而非稳定可区分术语，需依赖上下文是否显式带出“相除/倍比关系”。
AMB-002,比的基本性质,HKG-NODE-NODE-NODE-06;HKG-NODE-NODE-0,代数 / 比和比例;代数 / 比和比例,若仅指知识点标题或章节名，可能指 HKG-NODE-NODE-NODE-06；若明确陈述“前项和后项同时乘或除以同一个非0数，比值不变”，则指 HKG-NODE-NODE-0。,学习‘比的基本性质’这一节；使用‘前项和后项同时乘或除以同一个非0数，比值不变’来化简比。,讨论比例的基本性质；讨论按比例分配。,这是同一内容的标题型节点与命题型节点并存，表面形式无法稳定唯一定向。
AMB-003,按比分配问题,HKG-NODE-NODE-NODE-07;HKG-NODE-NODE-NODE-08,代数 / 比和比例;代数 / 比和比例,若上下文强调解题结构‘总份数—每份量—各部分量’，偏向 HKG-NODE-NODE-NODE-07；若只是泛指该应用题类型名称，偏向 HKG-NODE-NODE-NODE-08。,已知总量和比，求各部分量；‘按比分配应用题’作为题型名称。,平均分配；仅讨论比的意义或比的基本性质。,两节点几乎同义，同阶段同来源；属于题型名与题型解释并存的歧义。
AMB-004,比例尺应用,HKG-NODE-NODE-NODE-16;HKG-NODE-NODE-NODE-21,代数 / 比和比例;代数 / 比和比例,若语境偏‘求值’可指 HKG-NODE-NODE-NODE-16；若语境偏‘换算’可指 HKG-NODE-NODE-NODE-21。但从当前来源看二者边界并不稳定。,根据比例尺求图上距离或实际距离；图上距离与实际距离之间的简单换算。,地图阅读常识；相似形证明；复杂单位换算专题。,‘求值’与‘换算’在该阶段教材操作上常重合，表面词不足以稳定区分两个节点。
AMB-005,单项式的概念,HKG-NODE-NODE-NODE-27;HKG-NODE-NODE-NODE-28,代数 / 整式;代数 / 整式,若上下文强调‘识别单项式’和‘数与字母的积表示’，偏向 HKG-NODE-NODE-NODE-27；若只是概念标题或定义性问答，偏向 HKG-NODE-NODE-NODE-28。,判断一个代数式是不是单项式；什么是单项式。,多项式概念；整式整体分类；多项式运算。,一个偏识别任务，一个偏概念标题，但常用表述完全重叠。
AMB-006,合并同类项,HKG-NODE-NODE-NODE-45;HKG-NODE-NODE-NODE-47,代数 / 整式;代数 / 整式,若语境突出‘用该方法化简整式’，偏向 HKG-NODE-NODE-NODE-45；若仅指基础运算动作本身，偏向 HKG-NODE-NODE-NODE-47。,把同类项的系数相加减；用合并同类项化简整式。,去括号；整式乘法；因式分解。,表面词既可指运算动作，也可指在整式化简中的具体任务；当前两节点边界较弱。
AMB-007,解一元一次不等式组,HKG-NODE-NODE-NODE-58;HKG-NODE-NODE-NODE-65,代数 / 方程与不等式;代数 / 不等式,两节点都覆盖求解与公共解集；若需要严格区分，只能依赖建库策略而非自然语言上下文。,在数轴上表示各不等式解集并取公共部分；求一元一次不等式组的公共解。,单个一元一次不等式；高次不等式组；多元不等式组。,这是高置信重复歧义：同一表面形式直接落到两个同阶段近同义节点。
AMB-008,正比例函数,HKG-NODE-NODE-NODE-108;HKG-NODE-NODE-NODE-109,代数 / 函数;代数 / 函数,若语境是单元级泛指，可指 HKG-NODE-NODE-NODE-108；若强调‘概念’或‘识别形如 y=kx（k≠0）的函数’，偏向 HKG-NODE-NODE-NODE-109。,学习正比例函数这一类函数；判断某解析式是否为正比例函数。,六年级‘成正比例’的两个量关系判断；一次函数与正比例函数包含关系的专门比较。,同阶段内‘单元级名称’与‘概念节点’共用同一表面词，需靠上下文任务类型区分。
AMB-009,一次函数与正比例函数的关系,HKG-NODE-NODE-Y-KX-B-B-0-Y-KX;HKG-NODE-NODE-Y-KX-B-B-0,代数 / 函数;代数 / 函数,当前几乎无法凭自然语言稳定区分；前者表述更完整，后者略简化，但语义基本同一。,说明正比例函数是一次函数的特殊情形；讨论 b=0 时 y=kx+b 退化为 y=kx。,单独学习一次函数概念；单独学习正比例函数概念；只作一次函数图像。,更像重复建点，不是真正可操作的歧义分化。
AMB-010,一元二次方程求解,HKG-NODE-NODE-NODE-110;HKG-NODE-NODE-NODE-111,代数 / 方程;代数 / 方程,两节点同阶段同来源，表面上无稳定语义差别；仅可按建库规范选定一个标准节点。,解一元二次方程；求一元二次方程的解。,二元一次方程组求解；分式方程求解；二次函数问题。,典型重复歧义：‘一元二次方程的求解’与‘一元二次方程求解’仅是语序差异。
